URL;Summary;Type 
https://link.springer.com/article/10.1007/s40812-019-00121-1;;Scientific 
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8622357;;Scientific 
https://iopscience.iop.org/article/10.1088/1742-6596/1402/6/066081/meta;;Scientific 
;;Scientific 
https://www.sciencedirect.com/science/article/pii/S2214785322028954;;Scientific 
https://www.mdpi.com/2227-9717/8/11/1384;"Introduction
The subject of supply chain management has been subdued to many transformations, being in constant adjustment to changes due to globalization in the world economy and an increasing level of competition.
It is no longer a secret that a sustainable and performing supply chain management system has a compelling impact in achieving a competitive edge on the market and organizations recognize this aspect.
Chain management is defined as the management of the organizations’ network involved in providing products and services required by end users.
It covers everything concerning raw materials and ingredients until the consumption [7]
Objectives
The main goal of this paper is to develop a performance evaluation model that links specific problems with the most relevant KPIs for every subsystem of the supply chain management.
The main goal of this paper is to develop a performance evaluation model that links certain problems that appear in each supply chain management subsystem with the most relevant KPIs for every specified subsystem of the supply chain management
Methods
The research is designed into separate steps following a logical structure split into main steps
These start by researching the existing specialty literature on the subject based on qualitative research from primary and secondary sources.
With the use of data mining and the MLP algorithm, a list with the most suitable KPIs to be used by an organization is generated, with a trust level learned by the MLP algorithm from the provided data
Considering all these steps, it was made possible to develop a performance evaluation model for the holistic supply chain management system encompassing the nine subsystems, which provides a clear link between the input issues provided by the user via the GUI and the output KPIs provided by the MLP algorithm via data mining and artificial learning.
Results
Coding the Input Values Using Python Script.
The author-defined Python script was used to provide an understandable coding of the input values for the WEKA software to allow the multilayer perceptron to make predictions for which KPI should be used within an organization.
The graphic user interface developed is a graphical representation of the top 45 problems from each subsystem, reported by the interviewed persons.
The problems are classified on subsystems based on the interviewees’ answers of the reported problems.
As the algorithm is given more time to learn and big data inputs are provided from a larger number of organizations, so will the number of possible issues increase, as will the the number of possible links with different KPIs with a higher degree of accuracy, and this will provide an even better picture of the risks the organization is facing
Discussion
It is recommended that every company should measure the five most relevant KPIs of every subsystem
Measuring these KPIs will improve the supply chain management performance by taking actions in order to avoid future problems, improve existing processes and provide better risk assessment, quicker risk communication, improve risk management and increase the sustainability of the system.
The most important problems pointed out several times are certain communication issues, such as deficient communication, poor inter-departmental communication, deficient client communication, high focus on reduced costs, untrained workforce and lack of workforce, undefined procedures and documentation and delayed deliveries.
Some of these problems are pointed out as root causes for specific problems that appear within the supply chain management subsystems.
It can be concluded that certain problems which have been identified as most occurring can be solved or avoided by linking them to the right KPIs and setting the right objectives, validating, the initial hypothesis through which the main problems of the specific subsystems of the supply chain management system can be solved by implementing the right KPIs and setting the right objectives
Conclusion
By means of the mathematical model based on the data-mining multilayer perceptron artificial intelligence algorithm, certain relations and influences of the proposed model between KPIs and diverse problems have been demonstrated and validated.

By means of data mining, the top selected KPIs are linked to certain specified problems and the MLP can predict which KPI should be used based on the identified problems within the organisation.

In order to solve existing problems and identify and communicate risks and to prevent future issues, every problem should be linked to a KPI, an aspect that is demonstrated and validated by means of the data-mining multilayer perceptron machine learning algorithm.

Implementing and monitoring certain KPIs could help to better identify possible risks and issues in the system and help reduce or eliminate these potential risks.
In order to solve existing problems and identify and communicate risks and to prevent future issues, every problem should be linked to a KPI, an aspect that is demonstrated and validated by means of the data-mining multilayer perceptron machine learning algorithm.
Specific KPIs that are linked to these problems could prevent their appearance by observing the trend line of the monitored KPIs in a certain time frame.
This allows for a better risk assessment of the current situation and better risk management to eliminate potential risks before they impact the organization in a negative way";Scientific 
https://ieeexplore.ieee.org/abstract/document/8892275?casa_token=ACeeSzcyWe4AAAAA:zqTnYy-G1TT5eS9-VYK7YQz6gYajrwdNrm8mssrTPwzmfvk03jctxguKcR0YeSrH6q6vJqLJ;"Investigation of wear and destruction of the surface and subsurface layers is a relevant applied scientific and technical problem [1]–[7].
Several examples of proposed technology for recognizing wear products are presented.
The high reflectivity of wear particles was used compared with the background and the methods of threshold separation.
The range map contains information on the shape of the surface of the wear particle.
It has been presented some examples and concepts for combining and applying computer vision, artificial intelligence, and big data techniques to identify wearing products.
Further development of the industry and modern technologies will promote the introduction and improvement of such expert technology.
Development of information technologies supervised according to technological processes in high-speed machine parts and areas has a principal issue.
New materials are constantly being created, as well as intelligent systems, which include methods of computer or machine vision modern technology [8]–[15].
The product life cycle can be briefly presented in the following sequence: 1) designing the component in accordance with the specific needs; 2) manufacturing of parts; 3) operation of the part during which the control and diagnostics of the part is carried out; 4) failure of the parts; 5) recycling and recycling of parts.
When manufacturing parts have produced on the metal cutting machine, the material is separated in the chips form.
In the case of friction, the material is usually separated in the form of wearing products.
Cutting and wearing products can serve as identifiers of the destructive processes occurring in the surface and subsurface layers of the material.
A variety of different methods are used to describe the shape of the surface for the recognition of graphic objects.
Identification of both cutting and wearing products can be done using computer vision techniques.
Automation of the recognition of cutting and wearing products by means of computer vision will allow to more closely approach the processes of material destruction of the surface and subsurface layers and components, both during the creation of the part and during its operation.
The processes of material destruction are accompanied by the separation of particles of material, which are called particles of wear.
Identification and detection of wear particles is an urgent task, designed to ensure the safety of people movement in road transport.";Scientific 
https://www.e3s-conferences.org/articles/e3sconf/abs/2021/21/e3sconf_aeecs2021_03091/e3sconf_aeecs2021_03091.html;"Research on the Reform of Higher Automotive Engineering Education Under the Background of Artificial Intelligence
Wuhan University of Technology College of Automotive Engineering Wuhan, China
With the wide application of Artificial Intelligence (AI) in the field of automobile, IntelliDrive has become a new development direction in the automotive industry.
Under the background of AI, automobile companies put forward new requirements for the ability and quality of automotive engineering talents.
There is a huge gap in compound automotive engineering talents that can meet the needs of automobile enterprises.
This paper starts from the current situation of auto companies’ demanding for talents in automotive engineering under the background of AI, analyzes the current problems in the process of training automotive engineering professionals in Chinese colleges and presents a plan to promote the reform of the training mode of automotive engineering professionals in colleges from four aspects: curriculum system construction, teaching staff construction, school-enterprise joint training, strengthen the personalized training of students.
Current usage metrics show cumulative count of Article Views and Abstracts Views on Vision4Press platform.
Data correspond to usage on the plateform after 2015.
The current usage metrics is available 48-96 hours after online publication and is updated daily on week days.
Exploration and Practice of Coordinated Development of Teachers and Students in Innovation and Entrepreneurship Education of Artificial Intelligence SHS Web of Conferences 157, 02025 (2023)";Scientific 
https://hal.science/hal-02156048/#;"INTRODUCTION
Artificial intelligence (AI) has made progress from a vision to real usage in the automotive domain.
Machine learning has still its limitations, especially regarding questions related to functional safety
This already starts with the unsureness given in the definition itself.
From a computational point of view there are a couple of advantages of using artificial intelligence methods to be mentioned [10]: Inherent distributed representation of a function which is the base for realization in parallel programming units.
Regarding this norm the usage is not possible, as artificial intelligence systems often do not fulfill the basic principle of deterministic reaction of a system
This basic principle of the functional safety was so far not discussable in the past.
RELATED WORK
In [7] Rasmussen introduces a model of human behavior based on three levels of performance of skilled human operators.
Safety analysis methods like functional hazard analysis [11] are standard in several industries
They are not applied and integrated in the literature to a systematic approach for safety argumentation for systems using artificial intelligence
Structural definitions
The term “system” is used as defined by ISO26262 [3], i.e. “a set of elements that relates at least a sensor, a controller and an actuator with one another”.
During the learning procedure (2) the AI-system (1) is triggered by input vectors xT=(x1, ...
Xn) that are given by a learning content (3) and the AI-system adapts itself such that the output vectors yT=(y1, ...
I.e. it reasons from a special learned input vector xT to a general one x~T
Behavioral definitions
With the definitions given so far the AI-system is still considered as a black box system.
In automotive vehicle control usually quantitative models for systems design and performance analysis are used.
Compared to categories of human performance, the tasks of the process model are typically categorized into skill-based behavior, rule-based behavior and knowledge-based behavior [7].
At the rule-based behavior level typically the action is controlled by a sequence of stored procedures.
In traditional automotive control systems the safety argumentation is based on the rule-based level only.
The structure of the safety argumentation for AI-systems as worked out in this paper comprises all levels
FUNCTIONAL HAZARD ANALYSIS
An initial FHA is contained in traditional envelope protection functions as ABS or ESC an emergency stop function.
These functions can mitigate situations of AI-system failure.
System Runtime Failure Inadequate on-line procedure Reasonably foreseeable event
On-operation versus Off-operation learning
Off-operation means that the learning and the operation phase are separated from each other in the product lifecycle process.
On-operation enables adaptations of the AI-system with the help of learning during operation, i.e. during driving within the car
Supervised- versus unsupervised- versus reinforcementlearning
This classification mainly determines which control is given during the learning phase through the process [5].
To determine the suitability of the neural network given an input a ‘critic’ element produces a ‘correct’ or ‘incorrect’ signal
This signal is generated by observing the interaction of the neural network with the environment
Deterministic- versus stochastic- learning approaches
Some learning methods include an optimization step. This step is often done using stochastic optimization methods.
Using stochastic approaches makes the argumentation even more complex and in case of on-operation learning impossible regarding the requirement to fulfill the basic principle of deterministic reaction of a system.
As a complete consideration of all possible combinations of the classifications would be beyond the limited space of this paper, we will limit us in the remaining paper to off-operation, deterministic learning approach exemplarily analyzed using neural networks
SAFETY ARGUMENTS FOR NEURAL NETWORKS
Based on the safety integrity level classification given by the hazard analysis, the safety case responds with a structured argument intended to justify that the system is acceptably safe for the specific AI-system in a specific operating environment.
We used a hierarchical GSN modeling approach: Figure 4 shows the goal structure for neural networks on a top level.
Leafs of the GSN tree represent a list of methods applicable in the safety argumentation.
They introduce the Lime procedure to create explanations that reflect the behavior of the classifier ""around"" the instance being predicted
Solutions regarding G10 – Restriction of outcome space
A restriction of the outcome space provides a reduction of complexity and in some solutions the possibility to ensure stability between input and output.
With a similar goal the method novelty detection classifies test data that differs from the training data
Both methods do not restrict the values of the outcome space completely but reduce the probability of failure classification.
The usage of dead bands such that learning is allowed only when useful command/response dynamics are available should ensure that the neural network does not adapt to noise or drift away from good solutions
Solutions regarding G11 – Formal methods
In the literature one may find an increasing set of formal methods that are at all an attempt to get the structures of neural networks understandable, reasonable and under control.
Several neural network specification languages have been developed, like CONNECT [17], nn [17], NSL [19], NeuroML [20], or EpsiloNN [21].
Specification languages directly influence the structure of neural networks
Another technique is the usage of linear models.
Bayesian regularization is a mathematical process that enables to consider the neural network in the context of a statistical problem to enable the applicability of regression analytics
ASSIGNMENT OF SAFETY METHODS TO BEHAVIOR LEVELS
All the solutions presented in the previous section make more or less use of the knowledge that is coded in the neural network.
The list of technical measures is neither complete nor sufficient for the complete fulfillment of a safety argumentation in a concrete automotive application context.
The more knowledge is needed for the application of a solution the more effort has to be done during the application
VIII. CONCLUSION AND OUTLOOK
The ultimate goal to provide guarantees for all unexpected cases cannot be achieved by definition.
For example, there always exists a point where the physical system is damaged/changed to such an extent that adaptation toward controllable behavior is not possible [4].
The list of solutions presented in this paper is not complete to argue the applicability of a neural network in an automotive safety application.
More research is needed to ensure the functional safety in the upcoming future application of neural networks in the automotive applications";Scientific 
https://www.mdpi.com/2072-666X/13/9/1380;;Scientific 
